STN,VARFROM,VARTO,MEAS_DATE,START_TIME,END_TIME,GAUGE_NO,START_GH,END_GH,M_GH,FLOW,DEVIATION,QUALITY,METHOD,METER_NO,WMGH,PARTY,AREA,VELOCITY,MAXDEPTH,MAXVEL,SLOPE,MANNINGS,WETTEDPER,CTF,TEMP,PH,COND,SEDIMENT,SAMPLE,WIDTH,SECTIONS,METHOD_2,METHOD_6,METHOD_8,GSHIFT,COMMNT,RAWTYPE,RAWDATA,ENTEREDBY,CHECKEDBY,DBVER23,DATEMOD,TIMEMOD,USERMOD
401013,100,141,30/06/1965,0.00,0.00,1.0,0.320,0.320,0.320,18.594000,-9.44,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,30/06/1965,1.00,0.00,2.0,0.320,0.320,0.320,19.817000,-3.49,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,13/09/1965,0.00,0.00,3.0,0.442,0.442,0.442,83.184000,-1.29,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,13/09/1965,1.00,0.00,4.0,0.442,0.442,0.442,83.184000,-1.29,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,2/11/1965,0.00,0.00,5.0,0.411,0.411,0.411,58.718000,-8.48,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,2/11/1965,1.00,0.00,6.0,0.411,0.411,0.411,63.611000,-0.85,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,8/12/1965,0.00,0.00,7.0,0.378,0.378,0.378,48.687000,3.32,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,8/12/1965,1.00,0.00,8.0,0.378,0.378,0.378,48.932000,3.84,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,17/01/1966,0.00,0.00,9.0,0.274,0.274,0.274,11.499000,5.17,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,17/01/1966,1.00,0.00,10.0,0.274,0.274,0.274,10.765000,-1.54,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,19/02/1966,0.00,0.00,11.0,0.320,0.320,0.320,21.775000,-4.00,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,19/02/1966,1.00,0.00,12.0,0.320,0.320,0.320,21.530000,-5.08,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,17/03/1966,0.00,0.00,13.0,0.399,0.399,0.399,56.271000,-2.30,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,17/03/1966,1.00,0.00,14.0,0.393,0.393,0.393,53.825000,-1.19,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,1/04/1966,0.00,0.00,15.0,0.287,0.287,0.287,13.212000,-2.99,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,1/04/1966,1.00,0.00,16.0,0.287,0.287,0.287,12.967000,-4.79,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,27/05/1966,0.00,0.00,17.0,0.302,0.302,0.302,17.371000,1.31,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,27/05/1966,1.00,0.00,18.0,0.302,0.302,0.302,17.860000,4.16,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,21/06/1966,0.00,0.00,19.0,0.363,0.363,0.363,37.677000,-6.40,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,21/06/1966,1.00,0.00,20.0,0.363,0.363,0.363,38.656000,-3.97,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,5/08/1966,0.00,0.00,21.0,0.472,0.472,0.472,110.096000,1.65,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,5/08/1966,1.00,0.00,22.0,0.472,0.472,0.472,107.649000,-0.61,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,22/09/1966,0.00,0.00,23.0,0.594,0.594,0.594,266.677000,8.37,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,22/09/1966,1.00,0.00,24.0,0.594,0.594,0.594,278.910000,13.34,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,3/11/1966,0.00,0.00,25.0,0.610,0.610,0.610,234.871000,-12.90,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,3/11/1966,1.00,0.00,26.0,0.610,0.610,0.610,239.764000,-11.08,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,13/02/1967,0.00,0.00,27.0,0.293,0.293,0.293,16.881000,12.75,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,13/02/1967,1.00,0.00,28.0,0.293,0.293,0.293,15.903000,6.22,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,6/04/1967,0.00,0.00,29.0,0.283,0.283,0.283,11.744000,-7.96,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,4/08/1967,0.00,0.00,30.0,0.314,0.314,0.314,17.126000,-6.96,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,4/08/1967,1.00,0.00,31.0,0.314,0.314,0.314,16.147000,-12.28,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,31/08/1967,0.00,0.00,32.0,0.335,0.335,0.335,31.805000,20.15,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,31/08/1967,1.00,0.00,33.0,0.335,0.335,0.335,31.316000,18.31,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,10/11/1967,0.00,0.00,34.0,0.250,0.250,0.250,4.306000,11.73,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,10/11/1967,1.00,0.00,35.0,0.250,0.250,0.250,4.330000,12.35,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,19/12/1967,0.00,0.00,36.0,0.232,0.232,0.232,0.832000,9999.99,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,19/12/1967,1.00,0.00,37.0,0.232,0.232,0.232,0.807000,9999.99,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,27/02/1968,0.00,0.00,38.0,0.229,0.229,0.229,0.343000,9999.99,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,1/05/1968,0.00,0.00,39.0,0.341,0.341,0.341,9.175000,-68.47,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,1/05/1968,1.00,0.00,40.0,0.341,0.341,0.341,9.150000,-68.56,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,18/06/1968,0.00,0.00,41.0,0.466,0.466,0.466,115.723000,12.12,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,18/06/1968,1.00,0.00,42.0,0.466,0.466,0.466,110.585000,7.15,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,17/07/1968,0.00,0.00,43.0,0.427,0.427,0.427,70.951000,-3.59,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,17/07/1968,1.00,0.00,44.0,0.427,0.427,0.427,73.397000,-0.26,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,17/09/1968,0.00,0.00,45.0,0.442,0.442,0.442,97.863000,5.61,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,17/09/1968,1.00,0.00,46.0,0.442,0.442,0.442,92.970000,0.32,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,31/10/1968,0.00,0.00,47.0,0.421,0.421,0.421,56.271000,-19.55,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,31/10/1968,1.00,0.00,48.0,0.421,0.421,0.421,56.271000,-19.55,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,27/11/1968,0.00,0.00,49.0,0.354,0.354,0.354,35.965000,-2.72,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,12/12/1968,0.00,0.00,50.0,0.314,0.314,0.314,24.221000,2.56,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,12/12/1968,1.00,0.00,51.0,0.314,0.314,0.314,23.976000,1.52,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,21/01/1969,0.00,0.00,52.0,0.262,0.262,0.262,10.276000,2.00,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,21/01/1969,1.00,0.00,53.0,0.262,0.262,0.262,10.031000,-0.43,7,..,.........,TRUE,..........,-999.9991,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
401013,100,141,6/03/1969,0.00,0.00,54.0,0.244,0.244,0.244,6.606000,7.48,7,..,.........,TRUE,..........,-999.9990,-999.999,0.000,0.000,0.00000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,FALSE,0.000,0,FALSE,FALSE,FALSE,,,,,...,...,FALSE,16/07/2003,1833,SCHED
